Item,Cost,Coverage,Waste Factor,,SEASIDE CONTRACTING PRICE SHEET
Tear out (siding only),$100.00,sq,5.00%,,CONFIDENTIAL
Soffit/fascia tear out (soffit jobs only),$50.00,sq,0.00%,,
Stucco/brick demo,$200.00,sq,5.00%,,
Tyvek,$50.00,sq,5.00%,,
Insulation,$50.00,sq,5.00%,,
Strapping,$50.00 - $75.00,sq,5.00%,,
Strapping with tapcon,$100.00,sq,5.00%,,
Soffit,$4.00,ft,5.00%,,
Fascia,$4.00,ft,5.00%,,
Drip flashing/bug mesh flashing,$4.00,ft,0.00%,,
Window capping for strapping/insulation,$4.00,ft,0.00%,,
Window capping,$4.00,ft,0.00%,,
Beam capping,$4.00,ft,0.00%,,
Garage door single capping,$75.00,door,0.00%,,
Garage door double capping,$100.00,door,0.00%,,
Hardie shake,$375.00,sq,5.00%,,
Hardie planks,$300.00,sq,5.00%,,
Hardie panels,$325.00,sq,5.00%,,
Hardie trims (window/door/batton),$2.00,ft,0.00%,,
Canexcel ridgewood,$300.00,sq,5.00%,,
Canexcel ultraplank,$350.00,sq,5.00%,,
Canexcel trims,$2.00,ft,0.00%,,
Vinyl horizontal,$175.00,sq,5.00%,,
Vinyl board & batton,$200.00,sq,5.00%,,
Distinction,$700.00,sq,5.00%,,
Bird box,$50.00,pc,0.00%,,
Wall flashing,$2.00,ft,0.00%,,
Re-sheet walls (demo included),$120.00,sq,5.00%,,
Genie rate,$50.00,sq,5.00%,,
Vinyl shutter labour - per pair,$50.00,pair,0.00%,,
Cellular select,$400.00,sq,5.00%,,
Cellular select trims,$3.00,ft,0.00%,,
Maibec labour,$350.00,sq,5.00%,,
Maibec board & batton,$400.00,sq,5.00%,,
Maibec shake,$450.00,sq,5.00%,,
Maibec trims,$2.00,ft,0.00%,,
Steel siding,$600.00,sq,5.00%,,
